"Date","Price","Open","High","Low","Change.."
2022-07-14,"16,213.05","16,294.75","16,329.55","16,115.65","-0.15%"
2022-07-15,"16,317.20","16,287.85","16,334.65","16,204.05","0.64%"
2022-07-18,"16,548.15","16,423.85","16,559.20","16,415.15","1.42%"
2022-07-19,"16,614.05","16,460.95","16,634.35","16,460.95","0.40%"
2022-07-20,"16,773.70","16,829.05","16,846.95","16,744.30","0.96%"
2022-07-21,"16,881.70","16,777.25","16,904.40","16,737.80","0.64%"
2022-07-22,"16,970.70","16,940.20","17,002.90","16,872.40","0.53%"
2022-07-25,"16,892.10","16,924.30","16,960.30","16,825.45","-0.46%"
2022-07-26,"16,733.30","16,896.40","16,899.00","16,710.00","-0.94%"
2022-07-27,"16,889.55","16,724.00","16,900.95","16,687.25","0.93%"
2022-07-28,"17,169.70","17,016.10","17,186.40","16,985.15","1.66%"
2022-07-29,"17,400.75","17,317.35","17,413.85","17,266.00","1.35%"
2022-08-01,"17,598.80","17,487.65","17,614.20","17,396.00","1.14%"
2022-08-02,"17,618.25","17,576.05","17,656.90","17,489.80","0.11%"
2022-08-03,"17,646.00","17,621.25","17,665.35","17,487.70","0.16%"
2022-08-04,"17,652.95","17,723.50","17,753.85","17,420.40","0.04%"
2022-08-05,"17,655.50","17,699.35","17,747.40","17,625.35","0.01%"
2022-08-08,"17,784.80","17,664.20","17,799.90","17,621.15","0.73%"
2022-08-10,"17,784.90","17,829.45","17,829.45","17,695.80","0.00%"
2022-08-11,"17,913.95","17,955.90","17,962.35","17,883.10","0.73%"
2022-08-12,"17,956.80","17,916.65","17,982.90","17,857.75","0.24%"
2022-08-16,"18,107.25","18,056.25","18,118.45","18,028.10","0.84%"
2022-08-17,"18,235.55","18,154.20","18,258.15","18,125.85","0.71%"
2022-08-18,"18,264.40","18,195.65","18,277.10","18,156.30","0.16%"
2022-08-19,"18,071.10","18,281.60","18,304.70","18,026.60","-1.06%"
2022-08-22,"17,792.45","18,001.30","18,007.10","17,767.25","-1.54%"
2022-08-23,"17,878.40","17,654.50","17,926.95","17,644.60","0.48%"
2022-08-24,"17,917.30","17,832.85","17,933.10","17,790.90","0.22%"
2022-08-25,"17,847.65","17,992.80","18,044.85","17,813.80","-0.39%"
2022-08-26,"17,893.80","17,949.10","18,017.45","17,855.95","0.26%"
2022-08-29,"17,666.45","17,499.75","17,730.10","17,486.85","-1.27%"
2022-08-30,"18,112.40","17,776.75","18,131.30","17,766.85","2.52%"
2022-09-01,"17,924.30","17,858.45","18,063.90","17,850.15","-1.04%"
2022-09-02,"17,916.00","17,989.50","18,029.40","17,871.20","-0.05%"
2022-09-05,"18,021.65","17,928.80","18,041.65","17,922.95","0.59%"
2022-09-06,"18,031.30","18,061.90","18,125.05","17,955.25","0.05%"
2022-09-07,"18,008.10","17,906.65","18,036.75","17,874.65","-0.13%"
2022-09-08,"18,168.85","18,135.85","18,178.20","18,067.85","0.89%"
